be	was	been
vitrify	vitrified	vitrified
transship	transshipped	transshipped
beatify	beatified	beatified
unman	unmanned	unmanned
prettify	prettified	prettified
recopy	recopied	recopied
fructify	fructified	fructified
wigwag	wigwagged	wigwagged
flabbergast	flabbergasted	flabbergasted
namedrop	namedropped	namedropped
outdraw	outdrew	outdrawn
unbar	unbarred	unbarred
dehumidify	dehumidified	dehumidified
pettifog	pettifogged	pettifogged
defog	defogged	defogged
enwrap	enwrapped	enwrapped
